Time(days),Sham,IR,HD5+IR,AT9+IR,AT28+IR,TG26+IR,CA23+IR
,,,,,,,
1,100,100,100,100,100,100,100
2,100,100,100,100,100,100,100
3,100,100,100,100,100,100,100
4,100,90,90,100,90,80,90
5,100,70,80,90,60,70,70
6,100,50,70,70,40,50,30
7,100,30,50,60,20,40,0
8,100,10,30,50,10,20,0
9,100,10,30,40,10,10,0
10,100,10,30,40,10,10,0
11,100,10,30,40,10,10,0
12,100,10,30,40,10,10,0
13,100,10,30,40,10,10,0
14,100,10,30,40,10,10,0
15,100,10,30,40,10,10,0
16,100,10,30,40,10,10,0
17,100,10,30,40,10,10,0
18,100,10,30,40,10,10,0
19,100,10,30,40,10,10,0
20,100,10,30,40,10,10,0
21,100,10,30,40,10,10,0
22,100,10,30,40,10,10,0
23,100,10,30,40,10,10,0
24,100,10,30,40,10,10,0
25,100,10,30,40,10,10,0
26,100,10,30,40,10,10,0
27,100,10,30,40,10,10,0
28,100,10,30,40,10,10,0
29,100,10,30,40,10,10,0
30,100,10,30,40,10,10,0
